iter	Passed	Remaining
1659	149336	30586
1660	149426	30497
1661	149516	30407
1662	149599	30315
1663	149689	30225
1664	149772	30134
1665	149852	30042
1666	149944	29952
1667	150046	29865
1668	150127	29773
1669	150217	29683
1670	150299	29592
1671	150377	29499
1672	150467	29409
1673	150551	29318
1674	150629	29226
1675	150721	29137
1676	150806	29046
1677	150889	28955
1678	150975	28864
1679	151056	28772
1680	151161	28685
1681	151250	28595
1682	151333	28504
1683	151413	28412
1684	151508	28323
1685	151587	28231
1686	151665	28139
1687	151757	28049
1688	151834	27957
1689	151909	27865
1690	151992	27773
1691	152079	27683
1692	152155	27591
1693	152261	27504
1694	152348	27413
1695	152427	27321
1696	152521	27232
1697	152600	27141
1698	152680	27049
1699	152766	26958
1700	152855	26868
1701	152933	26776
1702	153020	26686
1703	153098	26594
1704	153173	26502
1705	153264	26412
1706	153372	26325
1707	153451	26234
1708	153537	26143
1709	153619	26052
1710	153700	25961
1711	153792	25871
1712	153870	25779
1713	153947	25687
1714	154040	25598
1715	154119	25506
1716	154200	25415
1717	154292	25326
1718	154375	25235
1719	154482	25148
1720	154569	25058
1721	154648	24966
1722	154731	24875
1723	154816	24784
1724	154894	24693
1725	154968	24601
1726	155065	24512
1727	155142	24420
1728	155231	24330
1729	155322	24241
1730	155401	24149
1731	155492	24060
1732	155596	23972
1733	155678	23881
1734	155762	23790
1735	155856	23701
1736	155931	23609
1737	156013	23518
1738	156102	23428
1739	156180	23337
1740	156259	23246
1741	156349	23156
1742	156430	23065
1743	156518	22975
1744	156612	22886
1745	156709	22797
1746	156808	22708
1747	156892	22618
1748	156971	22527
1749	157067	22438
1750	157139	22346
1751	157220	22254
1752	157304	22164
1753	157390	22074
1754	157479	21984
1755	157571	21894
1756	157653	21804
1757	157754	21715
1758	157850	21627
1759	157929	21535
1760	158011	21445
1761	158098	21354
1762	158176	21263
1763	158256	21172
1764	158347	21083
1765	158423	20991
1766	158506	20900
1767	158597	20811
1768	158674	20720
1769	158751	20628
1770	158857	20541
1771	158933	20449
1772	159017	20359
1773	159107	20269
1774	159185	20178
1775	159264	20087
1776	159352	19997
1777	159429	19906
1778	159519	19816
1779	159609	19726
1780	159687	19635
1781	159768	19545
1782	159858	19455
1783	159962	19367
1784	160045	19277
1785	160131	19187
1786	160209	19096
1787	160294	19005
1788	160379	18915
1789	160469	18825
1790	160549	18735
1791	160640	18645
1792	160728	18555
1793	160806	18464
1794	160890	18374
1795	160974	18284
1796	161080	18196
1797	161169	18106
1798	161256	18016
1799	161331	17925
1800	161423	17836
1801	161511	17746
1802	161586	17655
1803	161673	17565
1804	161759	17475
1805	161854	17386
1806	161970	17299
1807	162073	17211
1808	162220	17127
1809	162301	17037
1810	162379	16946
1811	162472	16856
1812	162551	16766
1813	162631	16675
1814	162717	16585
1815	162795	16494
1816	162881	16404
1817	162972	16315
1818	163066	16225
1819	163147	16135
1820	163249	16047
1821	163343	15957
1822	163430	15867
1823	163521	15778
1824	163610	15688
1825	163694	15598
1826	163785	15508
1827	163865	15418
1828	163959	15329
1829	164052	15239
1830	164130	15149
1831	164211	15058
1832	164300	14968
1833	164398	14880
1834	164483	14790
1835	164577	14700
1836	164655	14610
1837	164737	14519
1838	164821	14429
1839	164903	14339
1840	164986	14249
1841	165075	14159
1842	165156	14069
1843	165240	13979
1844	165327	13889
1845	165407	13798
1846	165509	13710
1847	165594	13620
1848	165674	13529
1849	165754	13439
1850	165841	13349
1851	165922	13259
1852	166003	13169
1853	166087	13079
1854	166171	12989
1855	166252	12898
1856	166344	12809
1857	166429	12719
1858	166519	12630
1859	166622	12541
1860	166702	12451
1861	166781	12360
1862	166863	12270
1863	166941	12180
1864	167021	12090
1865	167112	12000
1866	167200	11910
1867	167281	11820
1868	167386	11732
1869	167473	11642
1870	167558	11552
1871	167658	11463
1872	167747	11374
1873	167828	11284
1874	167922	11194
1875	168003	11104
1876	168082	11014
1877	168172	10924
1878	168249	10834
1879	168341	10745
1880	168443	10656
1881	168536	10567
1882	168617	10477
1883	168721	10388
1884	168855	10301
1885	168967	10213
1886	169048	10123
1887	169134	10033
1888	169226	9943
1889	169308	9853
1890	169418	9765
1891	169536	9677
1892	169615	9587
1893	169696	9497
1894	169785	9407
1895	169883	9318
1896	169967	9228
1897	170056	9138
1898	170136	9048
1899	170216	8958
1900	170301	8868
1901	170381	8778
1902	170468	8689
1903	170559	8599
1904	170645	8509
1905	170728	8419
1906	170818	8330
1907	170898	8240
1908	171008	8151
1909	171094	8062
1910	171169	7971
1911	171255	7882
1912	171336	7792
1913	171424	7702
1914	171508	7612
1915	171615	7523
1916	171728	7435
1917	171814	7345
1918	171906	7256
1919	171995	7166
1920	172102	7077
1921	172197	6988
1922	172274	6898
1923	172351	6808
1924	172444	6718
1925	172530	6628
1926	172612	6539
1927	172701	6449
1928	172783	6359
1929	172868	6269
1930	172955	6180
1931	173042	6090
1932	173122	6000
1933	173234	5911
1934	173318	5822
1935	173408	5732
1936	173511	5643
1937	173603	5553
1938	173707	5464
1939	173816	5375
1940	173901	5286
1941	173988	5196
1942	174099	5107
1943	174200	5018
1944	174300	4928
1945	174401	4839
1946	174481	4749
1947	174562	4659
1948	174652	4570
1949	174740	4480
1950	174849	4391
1951	174966	4302
1952	175052	4212
1953	175128	4122
1954	175221	4033
1955	175304	3943
1956	175405	3854
1957	175505	3764
1958	175616	3675
1959	175725	3586
1960	175843	3497
1961	175947	3407
1962	176033	3317
1963	176123	3228
1964	176233	3139
1965	176328	3049
1966	176406	2959
1967	176515	2870
1968	176596	2780
1969	176675	2690
1970	176771	2600
1971	176877	2511
1972	176981	2421
1973	177072	2332
1974	177148	2242
1975	177225	2152
1976	177306	2062
1977	177388	1972
1978	177473	1883
1979	177561	1793
1980	177693	1704
1981	177804	1614
1982	177894	1525
1983	177977	1435
1984	178065	1345
1985	178143	1255
1986	178220	1166
1987	178310	1076
1988	178389	986
1989	178488	896
1990	178606	807
1991	178720	717
1992	178846	628
1993	178930	538
1994	179014	448
1995	179101	358
1996	179185	269
1997	179267	179
1998	179354	89
1999	179439	0
