iter	Logloss
0	0.6676384284
1	0.6438544089
2	0.6223531236
3	0.6053298823
4	0.5884735418
5	0.5736776785
6	0.5589387686
7	0.5475823646
8	0.5366173765
9	0.5269037717
10	0.5164857768
11	0.5088322054
12	0.5006677083
13	0.4925664963
14	0.4854025341
15	0.4779095108
16	0.4718248746
17	0.4666736392
18	0.4587186599
19	0.4528229276
20	0.4482235228
21	0.4432894212
22	0.4366374457
23	0.4255072632
24	0.4207887462
25	0.4081963426
26	0.4058232425
27	0.4025107939
28	0.3989782746
29	0.3961571231
30	0.3929582638
31	0.3903860106
32	0.3822614406
33	0.3762593802
34	0.3740859574
35	0.3693355218
36	0.3679247229
37	0.3661059477
38	0.3619812655
39	0.357675902
40	0.3564355832
41	0.3508679866
42	0.3497934496
43	0.3449461291
44	0.3407982152
45	0.3390783505
46	0.334251532
47	0.3326541595
48	0.3309409036
49	0.3271934313
50	0.325752233
51	0.324435589
52	0.3236286971
53	0.3226179405
54	0.3216401464
55	0.3202333069
56	0.3185932375
57	0.3178906467
58	0.3167847439
59	0.3150970137
60	0.3139459232
61	0.3132886134
62	0.3113462143
63	0.3104311703
64	0.3093707732
65	0.3089946899
66	0.3082884691
67	0.3074158009
68	0.3066738073
69	0.3058516536
70	0.3050907252
71	0.3046167108
72	0.302137777
73	0.3011592545
74	0.3006343344
75	0.2992994997
76	0.2983971504
77	0.2970806899
78	0.2961445457
79	0.2956996117
80	0.2946535161
81	0.2936866733
82	0.2929599466
83	0.2921180733
84	0.2912798074
85	0.2904683368
86	0.2896639278
87	0.2872890463
88	0.2864572808
89	0.2860061957
90	0.284820374
91	0.2844866398
92	0.2842220538
93	0.2839838889
94	0.2832538552
95	0.2821595776
96	0.2818343117
97	0.281623343
98	0.2808972514
99	0.2806518374
100	0.2801722104
101	0.2788483821
102	0.2780829599
103	0.2778315973
104	0.2772455776
105	0.276825401
106	0.2766585389
107	0.2761723353
108	0.2749402721
109	0.2745521588
110	0.2743966234
111	0.2741827715
112	0.2738969766
113	0.2731625867
114	0.272218883
115	0.2720622527
116	0.2714308989
117	0.271261095
118	0.2699241198
119	0.2697326914
120	0.2692115587
121	0.2688306997
122	0.2686497253
123	0.268477908
124	0.2673869086
125	0.2671566459
126	0.2669607582
127	0.2667957633
128	0.2664670651
129	0.2663569098
130	0.2656438485
131	0.265215264
132	0.2648333852
133	0.2644651113
134	0.2640983972
135	0.2636718337
136	0.263528453
137	0.2632130039
138	0.2630922303
139	0.2629455126
140	0.2626408229
141	0.2623372849
142	0.2622549367
143	0.2619907647
144	0.2618759378
145	0.2613096429
146	0.2611936503
147	0.2610640637
148	0.2609359116
149	0.2607553931
150	0.2606249362
151	0.2604779063
152	0.260265827
153	0.2600507423
154	0.259931548
155	0.2597371807
156	0.2593524397
157	0.2588204516
158	0.2587022356
159	0.2585723544
160	0.2584888316
161	0.2581469997
162	0.257870965
163	0.2576196317
164	0.2573226735
165	0.2572104937
166	0.2570895222
167	0.2569419703
168	0.2565655743
169	0.2561939862
170	0.2558109735
